run_number,model_name,metric,class,value
4,Fine-tuned distil-mBERT,recall,positive,0.7724
4,Base RuBERT,recall,positive,0.5138
4,Fine-tuned RuBERT,recall,positive,0.7034
4,Base mBERT,recall,positive,0.6586
4,Fine-tuned mBERT,recall,positive,0.6724
4,Base distil-mBERT,recall,macro avg,0.8123
4,Fine-tuned distil-mBERT,recall,macro avg,0.8206
4,Base RuBERT,recall,macro avg,0.7089
4,Fine-tuned RuBERT,recall,macro avg,0.8222
4,Base mBERT,recall,macro avg,0.7871
4,Fine-tuned mBERT,recall,macro avg,0.7984
4,Base distil-mBERT,recall,weighted avg,0.826
4,Fine-tuned distil-mBERT,recall,weighted avg,0.8333
4,Base RuBERT,recall,weighted avg,0.7432
4,Fine-tuned RuBERT,recall,weighted avg,0.8297
4,Base mBERT,recall,weighted avg,0.8087
4,Fine-tuned mBERT,recall,weighted avg,0.8142
4,Base distil-mBERT,f1-score,negative,0.7207
4,Fine-tuned distil-mBERT,f1-score,negative,0.7321
4,Base RuBERT,f1-score,negative,0.6283
4,Fine-tuned RuBERT,f1-score,negative,0.7542
4,Base mBERT,f1-score,negative,0.6962
4,Fine-tuned mBERT,f1-score,negative,0.7025
4,Base distil-mBERT,f1-score,neutral,0.8931
4,Fine-tuned distil-mBERT,f1-score,neutral,0.8993
4,Base RuBERT,f1-score,neutral,0.8697
4,Fine-tuned RuBERT,f1-score,neutral,0.8974
4,Base mBERT,f1-score,neutral,0.904
4,Fine-tuned mBERT,f1-score,neutral,0.8981
4,Base distil-mBERT,f1-score,positive,0.7719
4,Fine-tuned distil-mBERT,f1-score,positive,0.7778
4,Base RuBERT,f1-score,positive,0.5655
4,Fine-tuned RuBERT,f1-score,positive,0.7486
4,Base mBERT,f1-score,positive,0.7009
4,Fine-tuned mBERT,f1-score,positive,0.7303
4,Base distil-mBERT,f1-score,macro avg,0.7952
4,Fine-tuned distil-mBERT,f1-score,macro avg,0.8031
4,Base RuBERT,f1-score,macro avg,0.6878
4,Fine-tuned RuBERT,f1-score,macro avg,0.8001
4,Base mBERT,f1-score,macro avg,0.767
4,Fine-tuned mBERT,f1-score,macro avg,0.777
4,Base distil-mBERT,f1-score,weighted avg,0.8298
4,Fine-tuned distil-mBERT,f1-score,weighted avg,0.8369
4,Base RuBERT,f1-score,weighted avg,0.7456
4,Fine-tuned RuBERT,f1-score,weighted avg,0.8321
4,Base mBERT,f1-score,weighted avg,0.8127
4,Fine-tuned mBERT,f1-score,weighted avg,0.8184
4,Base distil-mBERT,accuracy,,0.826
4,Fine-tuned distil-mBERT,accuracy,,0.8333
4,Base RuBERT,accuracy,,0.7432
4,Fine-tuned RuBERT,accuracy,,0.8297
4,Base mBERT,accuracy,,0.8087
4,Fine-tuned mBERT,accuracy,,0.8142
5,Base distil-mBERT,precision,negative,0.5942
5,Fine-tuned distil-mBERT,precision,negative,0.6274
5,Base RuBERT,precision,negative,0.4903
5,Fine-tuned RuBERT,precision,negative,0.6429
5,Base mBERT,precision,negative,0.5811
5,Fine-tuned mBERT,precision,negative,0.6444
5,Base distil-mBERT,precision,neutral,0.929
5,Fine-tuned distil-mBERT,precision,neutral,0.9302
5,Base RuBERT,precision,neutral,0.918
5,Fine-tuned RuBERT,precision,neutral,0.9287
5,Base mBERT,precision,neutral,0.9278
5,Fine-tuned mBERT,precision,neutral,0.9514
5,Base distil-mBERT,precision,positive,0.7568
5,Fine-tuned distil-mBERT,precision,positive,0.75
5,Base RuBERT,precision,positive,0.59
5,Fine-tuned RuBERT,precision,positive,0.7823
5,Base mBERT,precision,positive,0.7177
5,Fine-tuned mBERT,precision,positive,0.7978
5,Base distil-mBERT,precision,macro avg,0.76
5,Fine-tuned distil-mBERT,precision,macro avg,0.7692
5,Base RuBERT,precision,macro avg,0.6661
5,Fine-tuned RuBERT,precision,macro avg,0.7846
5,Base mBERT,precision,macro avg,0.7422
5,Fine-tuned mBERT,precision,macro avg,0.7979
5,Base distil-mBERT,precision,weighted avg,0.8228
5,Fine-tuned distil-mBERT,precision,weighted avg,0.8277
5,Base RuBERT,precision,weighted avg,0.7539
5,Fine-tuned RuBERT,precision,weighted avg,0.8382
5,Base mBERT,precision,weighted avg,0.8095
5,Fine-tuned mBERT,precision,weighted avg,0.8552
5,Base distil-mBERT,recall,negative,0.8241
5,Fine-tuned distil-mBERT,recall,negative,0.8291
5,Base RuBERT,recall,negative,0.7638
5,Fine-tuned RuBERT,recall,negative,0.8593
5,Base mBERT,recall,negative,0.8643
5,Fine-tuned mBERT,recall,negative,0.8744
5,Base distil-mBERT,recall,neutral,0.8588
5,Fine-tuned distil-mBERT,recall,neutral,0.8539
5,Base RuBERT,recall,neutral,0.8276
5,Fine-tuned RuBERT,recall,neutral,0.8555
5,Base mBERT,recall,neutral,0.844
5,Fine-tuned mBERT,recall,neutral,0.8686
5,Base distil-mBERT,recall,positive,0.6759
5,Fine-tuned distil-mBERT,recall,positive,0.7138
5,Base RuBERT,recall,positive,0.4862
5,Fine-tuned RuBERT,recall,positive,0.731
5,Base mBERT,recall,positive,0.6138
5,Fine-tuned mBERT,recall,positive,0.7483
5,Base distil-mBERT,recall,macro avg,0.7863
5,Fine-tuned distil-mBERT,recall,macro avg,0.7989
5,Base RuBERT,recall,macro avg,0.6925
5,Fine-tuned RuBERT,recall,macro avg,0.8153
5,Base mBERT,recall,macro avg,0.774
5,Fine-tuned mBERT,recall,macro avg,0.8304
5,Base distil-mBERT,recall,weighted avg,0.8042
5,Fine-tuned distil-mBERT,recall,weighted avg,0.8124
5,Base RuBERT,recall,weighted avg,0.7259
5,Fine-tuned RuBERT,recall,weighted avg,0.8233
5,Base mBERT,recall,weighted avg,0.7869
5,Fine-tuned mBERT,recall,weighted avg,0.8379
5,Base distil-mBERT,f1-score,negative,0.6905
5,Fine-tuned distil-mBERT,f1-score,negative,0.7143
5,Base RuBERT,f1-score,negative,0.5972
5,Fine-tuned RuBERT,f1-score,negative,0.7355
5,Base mBERT,f1-score,negative,0.6949
5,Fine-tuned mBERT,f1-score,negative,0.742
5,Base distil-mBERT,f1-score,neutral,0.8925
5,Fine-tuned distil-mBERT,f1-score,neutral,0.8904
5,Base RuBERT,f1-score,neutral,0.8705
5,Fine-tuned RuBERT,f1-score,neutral,0.8906
5,Base mBERT,f1-score,neutral,0.8839
5,Fine-tuned mBERT,f1-score,neutral,0.9082
5,Base distil-mBERT,f1-score,positive,0.714
5,Fine-tuned distil-mBERT,f1-score,positive,0.7314
5,Base RuBERT,f1-score,positive,0.5331
5,Fine-tuned RuBERT,f1-score,positive,0.7558
